# Wavelength(micron) (rp/rs)^2 Error_bars
8.115388389702715699e+00 1.054463365419795566e-02 1.000000000000000082e-05
8.087379220032422822e+00 1.054462044813566160e-02 1.000000000000000082e-05
8.059466720237676185e+00 1.054460731651884163e-02 1.000000000000000082e-05
8.031650556675423047e+00 1.054459185280397747e-02 1.000000000000000082e-05
8.003930396854130436e+00 1.054457743228153464e-02 1.000000000000000082e-05
7.976305909429829200e+00 1.054456387301910478e-02 1.000000000000000082e-05
7.948776764202120759e+00 1.054454952947135246e-02 1.000000000000000082e-05
7.921342632110269122e+00 1.054453983926579089e-02 1.000000000000000082e-05
7.894003185229232500e+00 1.054453162974657368e-02 1.000000000000000082e-05
7.866758096765756214e+00 1.054452405813376646e-02 1.000000000000000082e-05
7.839607041054484249e+00 1.054451494172112432e-02 1.000000000000000082e-05
7.812549693554031727e+00 1.054450915814961372e-02 1.000000000000000082e-05
7.785585730843143537e+00 1.054450434078191279e-02 1.000000000000000082e-05
7.758714830616794345e+00 1.054449613857554556e-02 1.000000000000000082e-05
7.731936671682356099e+00 1.054448756605616717e-02 1.000000000000000082e-05
7.705250933955759329e+00 1.054447454256345583e-02 1.000000000000000082e-05
7.678657298457648217e+00 1.054446296294796713e-02 1.000000000000000082e-05
7.652155447309600511e+00 1.054445341410890739e-02 1.000000000000000082e-05
7.625745063730291484e+00 1.054444518891300628e-02 1.000000000000000082e-05
7.599425832031728056e+00 1.054443717275651421e-02 1.000000000000000082e-05
7.573197437615480254e+00 1.054442841790913764e-02 1.000000000000000082e-05
7.547059566968902011e+00 1.054442247922574710e-02 1.000000000000000082e-05
7.521011907661403484e+00 1.054441566958585173e-02 1.000000000000000082e-05
7.495054148340698497e+00 1.054440891500181381e-02 1.000000000000000082e-05
7.469185978729090181e+00 1.054440334220801620e-02 1.000000000000000082e-05
7.443407089619775263e+00 1.054439895540135348e-02 1.000000000000000082e-05
7.417717172873121712e+00 1.054439510728499840e-02 1.000000000000000082e-05
7.392115921413014767e+00 1.054438973705328596e-02 1.000000000000000082e-05
7.366603029223158572e+00 1.054438656807258484e-02 1.000000000000000082e-05
7.341178191343431081e+00 1.054438181076296048e-02 1.000000000000000082e-05
7.315841103866254969e+00 1.054437696221227280e-02 1.000000000000000082e-05
7.290591463932927674e+00 1.054437149354539929e-02 1.000000000000000082e-05
7.265428969730042930e+00 1.054436463524520071e-02 1.000000000000000082e-05
7.240353320485847455e+00 1.054435482006637823e-02 1.000000000000000082e-05
7.215364216466663372e+00 1.054434432670402731e-02 1.000000000000000082e-05
7.190461358973314177e+00 1.054433167484320269e-02 1.000000000000000082e-05
7.165644450337529392e+00 1.054431481772565536e-02 1.000000000000000082e-05
7.140913193918412283e+00 1.054429315288301847e-02 1.000000000000000082e-05
